Is gateway,Status,Last active,Name,MAC,Serial,Tags,Model,Product description,Latitude,Longitude,Internet address,LAN IP,Usage,Client count,Download speed,Gateway node,Gateway route length,Ping latency,Last active timestamp,Clients probing,Current client count
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:65:67:b0,Q2DK-KM4G-QWTD, recently-added ,MR72,Meraki MR72 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:65:61:b0,Q2DK-KAWQ-MW26, recently-added ,MR72,Meraki MR72 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
true,Unreachable for <var data-var='duration'>3 months</var>,3 months,,e0:55:3d:4b:3a:40,Q2DK-ZPJP-SMS8, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.33754,12.37422,109.104.56.101,,0,0,"",e0:55:3d:4b:3a:40,"","",Mon Nov 07 09:54:18 CET 2016,,0
true,Unreachable for <var data-var='duration'>3 months</var>,3 months,,e0:55:3d:4b:35:40,Q2DK-ZDEX-JNFP, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.33754,12.37422,109.104.56.75,,0,0,"",e0:55:3d:4b:35:40,"","",Mon Nov 07 09:55:00 CET 2016,,0
false,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,Zeitg.Forum AP3,e0:55:3d:4a:f0:60,Q2DK-W35S-7ZMH, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.33977162263,12.3756766408223,109.104.56.225,N/A,0,0,-16,00:18:0a:5e:1e:40,2,"",Sat Dec 17 11:28:12 CET 2016,,0
true,Unreachable for <var data-var='duration'>3 months</var>,3 months,,e0:55:3d:4a:d6:e0,Q2DK-UQFN-XEDX, recently-added ,MR72,Meraki MR72 Cloud Managed AP,51.33754,12.37422,109.104.56.117,,0,0,"",e0:55:3d:4a:d6:e0,"","",Mon Nov 07 09:55:56 CET 2016,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0e:52,Q2EK-S74T-8CLR, DOK-NEU recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0e:34,Q2EK-RBHJ-EBJK, DOK-NEU recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0e:28,Q2EK-R4QV-EJNM, DOK-NEU recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0d:a4,Q2EK-MM9J-K7Y8, DOK-NEU recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
true,Unreachable for <var data-var='duration'>24 days</var>,24 days,Regiocast_TEST,e0:55:3d:10:0d:3e,Q2EK-JRD7-G22S, recently-added ,MR84,Meraki MR84 Cloud Managed AP,51.3401310243257,12.3741611927289,146.0.126.160,192.168.12.3,0,0,"",e0:55:3d:10:0d:3e,"","",Tue Jan 17 09:53:01 CET 2017,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0c:18,Q2EK-A6ME-C8G8, DOK-NEU recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0b:54,Q2EK-4SSV-GM8E, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0a:90,Q2EK-YQBN-SWHF, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0a:52,Q2EK-WWMN-QS9E, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:0a:10,Q2EK-UWZ2-99SZ, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:08:42,Q2EK-CX6Q-BB6V, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:08:3c,Q2EK-CU5G-HVY3, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,,e0:55:3d:10:08:2a,Q2EK-C95K-JNPV, neu recently-added ,MR84,Meraki MR84 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
true,Unreachable for <var data-var='duration'>about 1 year</var>,about 1 year,ITUMA - Test-AP Portal,88:15:44:be:8b:f0,Q2JD-CH9U-45FS, CITY ITUMA recently-added ,MR32,Meraki MR32 Cloud Managed AP,50.9658091681455,9.00001287460327,84.135.55.125,10.10.10.45,0,0,"",88:15:44:be:8b:f0,"","",Wed Dec 02 11:08:36 CET 2015,,0
false,Unreachable for <var data-var='duration'>about 1 month</var>,about 1 month,Zeitg.Forum AP1,88:15:44:ba:47:50,Q2JD-GGJV-SQAB, recently-added ,MR32,Meraki MR32 Cloud Managed AP,51.3397984318709,12.3756752997178,146.0.126.160,N/A,0,0,-16,00:18:0a:5e:1e:40,1,"",Sat Dec 17 12:27:10 CET 2016,,0
false,Has never connected to the Meraki cloud,about 47 years,,00:18:0a:5b:cd:c0,Q2DK-CD8J-E4YT, recently-added ,MR72,Meraki MR72 Cloud Managed AP,37.4180951010362,-122.098531723022,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,LVB Feuerbachstraße 1,00:18:0a:5d:67:60,Q2DK-ZFA7-J4HB, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.3348040438115,12.371767830482,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
false,Has never connected to the Meraki cloud,about 47 years,LVB Feuerbachstraße 1,00:18:0a:5d:02:60,Q2DK-UBYW-VFFW, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.3348040438115,12.3719394918589,,N/A,0,0,-16,00:18:0a:00:00:00,99,"",Thu Jan 01 01:00:00 CET 1970,,0
true,Unreachable for <var data-var='duration'>about 1 year</var>,about 1 year,LVV 1,00:18:0a:5e:a4:80,Q2DK-7YRZ-D6LW, LEIPZIGER TEMP ,MR72,Meraki MR72 Cloud Managed AP,51.340479764621,12.3770606238395,146.0.104.0,192.168.6.5,0,0,"",00:18:0a:5e:a4:80,"","",Mon Jan 11 18:53:52 CET 2016,,0
true,Unreachable for <var data-var='duration'>about 1 year</var>,about 1 year,88:15:44:ba:75:f0,88:15:44:ba:75:f0,Q2JD-HLQG-8WGV, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3345990643209,12.3714710705099,109.104.54.8,192.168.3.250,0,0,"",88:15:44:ba:75:f0,"","",Wed Jan 20 13:40:08 CET 2016,,0
